time,number_A,number_HA,alpha,surf_ch_dens
279.99999999989035,162,0,1.0,-320.435324
279.99999999989035,144,18,0.8888888888888888,-284.83139911111107
279.99999999989035,136,26,0.8395061728395061,-269.00743249382714
299.99999999987216,136,26,0.8395061728395061,-269.00743249382714
319.99999999985397,136,26,0.8395061728395061,-269.00743249382714
339.9999999998358,136,26,0.8395061728395061,-269.00743249382714
339.9999999998358,101,61,0.6234567901234568,-199.77757854320987
359.9999999998176,101,61,0.6234567901234568,-199.77757854320987
379.9999999997994,101,61,0.6234567901234568,-199.77757854320987
379.9999999997994,63,99,0.3888888888888889,-124.6137371111111
399.9999999997812,63,99,0.3888888888888889,-124.6137371111111
419.999999999763,63,99,0.3888888888888889,-124.6137371111111
439.99999999974483,63,99,0.3888888888888889,-124.6137371111111
439.99999999974483,28,134,0.1728395061728395,-55.38388316049382
439.99999999974483,34,128,0.20987654320987653,-67.25185812345678
439.99999999974483,29,133,0.17901234567901234,-57.36187898765432
459.99999999972664,29,133,0.17901234567901234,-57.36187898765432
479.99999999970845,29,133,0.17901234567901234,-57.36187898765432
479.99999999970845,16,146,0.09876543209876543,-31.647933234567898
479.99999999970845,12,150,0.07407407407407407,-23.735949925925922
499.99999999969026,12,150,0.07407407407407407,-23.735949925925922
499.99999999969026,6,156,0.037037037037037035,-11.867974962962961
519.9999999996721,6,156,0.037037037037037035,-11.867974962962961
539.9999999996539,6,156,0.037037037037037035,-11.867974962962961
539.9999999996539,7,155,0.043209876543209874,-13.845970790123456
559.9999999996357,7,155,0.043209876543209874,-13.845970790123456
559.9999999996357,9,153,0.05555555555555555,-17.80196244444444
579.9999999996176,9,153,0.05555555555555555,-17.80196244444444
599.9999999995994,9,153,0.05555555555555555,-17.80196244444444
599.9999999995994,8,154,0.04938271604938271,-15.823966617283949
599.9999999995994,8,154,0.04938271604938271,-15.823966617283949
619.9999999995812,8,154,0.04938271604938271,-15.823966617283949
639.999999999563,8,154,0.04938271604938271,-15.823966617283949
639.999999999563,1,161,0.006172839506172839,-1.9779958271604936
659.9999999995448,1,161,0.006172839506172839,-1.9779958271604936
659.9999999995448,1,161,0.006172839506172839,-1.9779958271604936
659.9999999995448,3,159,0.018518518518518517,-5.933987481481481
679.9999999995266,3,159,0.018518518518518517,-5.933987481481481
699.9999999995084,3,159,0.018518518518518517,-5.933987481481481
719.9999999994902,3,159,0.018518518518518517,-5.933987481481481
719.9999999994902,6,156,0.037037037037037035,-11.867974962962961
739.999999999472,6,156,0.037037037037037035,-11.867974962962961
759.9999999994538,6,156,0.037037037037037035,-11.867974962962961
779.9999999994357,6,156,0.037037037037037035,-11.867974962962961
799.9999999994175,6,156,0.037037037037037035,-11.867974962962961
819.9999999993993,6,156,0.037037037037037035,-11.867974962962961
839.9999999993811,6,156,0.037037037037037035,-11.867974962962961
839.9999999993811,5,157,0.030864197530864196,-9.889979135802468
839.9999999993811,3,159,0.018518518518518517,-5.933987481481481
839.9999999993811,5,157,0.030864197530864196,-9.889979135802468
859.9999999993629,5,157,0.030864197530864196,-9.889979135802468
879.9999999993447,5,157,0.030864197530864196,-9.889979135802468
879.9999999993447,3,159,0.018518518518518517,-5.933987481481481
899.9999999993265,3,159,0.018518518518518517,-5.933987481481481
899.9999999993265,7,155,0.043209876543209874,-13.845970790123456
899.9999999993265,4,158,0.024691358024691357,-7.911983308641974
919.9999999993083,4,158,0.024691358024691357,-7.911983308641974
919.9999999993083,3,159,0.018518518518518517,-5.933987481481481
919.9999999993083,2,160,0.012345679012345678,-3.955991654320987
939.9999999992901,2,160,0.012345679012345678,-3.955991654320987
959.999999999272,2,160,0.012345679012345678,-3.955991654320987
979.9999999992538,2,160,0.012345679012345678,-3.955991654320987
999.9999999992356,2,160,0.012345679012345678,-3.955991654320987
1019.9999999992174,2,160,0.012345679012345678,-3.955991654320987
1039.9999999991992,2,160,0.012345679012345678,-3.955991654320987
1039.9999999991992,5,157,0.030864197530864196,-9.889979135802468
1059.999999999181,5,157,0.030864197530864196,-9.889979135802468
1079.9999999991628,5,157,0.030864197530864196,-9.889979135802468
1079.9999999991628,3,159,0.018518518518518517,-5.933987481481481
1099.9999999991446,3,159,0.018518518518518517,-5.933987481481481
1099.9999999991446,2,160,0.012345679012345678,-3.955991654320987
1119.9999999991264,2,160,0.012345679012345678,-3.955991654320987
1139.9999999991082,2,160,0.012345679012345678,-3.955991654320987
1159.99999999909,2,160,0.012345679012345678,-3.955991654320987
1159.99999999909,6,156,0.037037037037037035,-11.867974962962961
1179.9999999990719,6,156,0.037037037037037035,-11.867974962962961
1179.9999999990719,6,156,0.037037037037037035,-11.867974962962961
1199.9999999990537,6,156,0.037037037037037035,-11.867974962962961
1219.9999999990355,6,156,0.037037037037037035,-11.867974962962961
1239.9999999990173,6,156,0.037037037037037035,-11.867974962962961
1239.9999999990173,6,156,0.037037037037037035,-11.867974962962961
1239.9999999990173,5,157,0.030864197530864196,-9.889979135802468
1259.999999998999,5,157,0.030864197530864196,-9.889979135802468
1279.999999998981,5,157,0.030864197530864196,-9.889979135802468
1299.9999999989627,5,157,0.030864197530864196,-9.889979135802468
1319.9999999989445,5,157,0.030864197530864196,-9.889979135802468
1339.9999999989263,5,157,0.030864197530864196,-9.889979135802468
1339.9999999989263,4,158,0.024691358024691357,-7.911983308641974
1339.9999999989263,5,157,0.030864197530864196,-9.889979135802468
1359.9999999989082,5,157,0.030864197530864196,-9.889979135802468
1379.99999999889,5,157,0.030864197530864196,-9.889979135802468
1379.99999999889,7,155,0.043209876543209874,-13.845970790123456
1379.99999999889,2,160,0.012345679012345678,-3.955991654320987
1399.9999999988718,2,160,0.012345679012345678,-3.955991654320987
1419.9999999988536,2,160,0.012345679012345678,-3.955991654320987
1439.9999999988354,2,160,0.012345679012345678,-3.955991654320987
1459.9999999988172,2,160,0.012345679012345678,-3.955991654320987
1479.999999998799,2,160,0.012345679012345678,-3.955991654320987
1499.9999999987808,2,160,0.012345679012345678,-3.955991654320987
1499.9999999987808,3,159,0.018518518518518517,-5.933987481481481
1519.9999999987626,3,159,0.018518518518518517,-5.933987481481481
1539.9999999987444,3,159,0.018518518518518517,-5.933987481481481
1559.9999999987263,3,159,0.018518518518518517,-5.933987481481481
1559.9999999987263,3,159,0.018518518518518517,-5.933987481481481
1559.9999999987263,4,158,0.024691358024691357,-7.911983308641974
1579.999999998708,4,158,0.024691358024691357,-7.911983308641974
1599.9999999986899,4,158,0.024691358024691357,-7.911983308641974
1599.9999999986899,1,161,0.006172839506172839,-1.9779958271604936
1619.9999999986717,1,161,0.006172839506172839,-1.9779958271604936
1639.9999999986535,1,161,0.006172839506172839,-1.9779958271604936
1659.9999999986353,1,161,0.006172839506172839,-1.9779958271604936
1679.999999998617,1,161,0.006172839506172839,-1.9779958271604936
1699.999999998599,1,161,0.006172839506172839,-1.9779958271604936
1699.999999998599,1,161,0.006172839506172839,-1.9779958271604936
1699.999999998599,5,157,0.030864197530864196,-9.889979135802468
1719.9999999985807,5,157,0.030864197530864196,-9.889979135802468
1719.9999999985807,4,158,0.024691358024691357,-7.911983308641974
1739.9999999985625,4,158,0.024691358024691357,-7.911983308641974
1759.9999999985444,4,158,0.024691358024691357,-7.911983308641974
