time,number_A,number_HA,alpha,surf_ch_dens
140.00000000001765,107,55,0.6604938271604939,-105.82277675308643
150.00000000000855,81,81,0.5,-80.108831
159.99999999999946,67,95,0.41358024691358025,-66.26286020987655
169.99999999999037,58,104,0.35802469135802467,-57.36187898765432
179.99999999998127,50,112,0.30864197530864196,-49.44989567901234
189.99999999997218,48,114,0.2962962962962963,-47.47189985185185
199.99999999996308,45,117,0.2777777777777778,-44.504906111111104
209.99999999995399,43,119,0.2654320987654321,-42.52691028395062
219.9999999999449,41,121,0.25308641975308643,-40.54891445679012
229.9999999999358,37,125,0.22839506172839505,-36.59292280246914
239.9999999999267,39,123,0.24074074074074073,-38.57091862962963
249.9999999999176,37,125,0.22839506172839505,-36.59292280246914
259.99999999990854,38,124,0.2345679012345679,-37.581920716049375
269.99999999989944,36,126,0.2222222222222222,-35.60392488888888
279.99999999989035,36,126,0.2222222222222222,-35.60392488888888
289.99999999988125,39,123,0.24074074074074073,-38.57091862962963
299.99999999987216,40,122,0.24691358024691357,-39.55991654320987
309.99999999986306,41,121,0.25308641975308643,-40.54891445679012
319.99999999985397,39,123,0.24074074074074073,-38.57091862962963
329.9999999998449,42,120,0.25925925925925924,-41.537912370370364
339.9999999998358,40,122,0.24691358024691357,-39.55991654320987
349.9999999998267,40,122,0.24691358024691357,-39.55991654320987
359.9999999998176,44,118,0.2716049382716049,-43.51590819753087
369.9999999998085,41,121,0.25308641975308643,-40.54891445679012
379.9999999997994,40,122,0.24691358024691357,-39.55991654320987
389.9999999997903,44,118,0.2716049382716049,-43.51590819753087
399.9999999997812,42,120,0.25925925925925924,-41.537912370370364
409.9999999997721,47,115,0.29012345679012347,-46.4829019382716
419.999999999763,43,119,0.2654320987654321,-42.52691028395062
429.9999999997539,39,123,0.24074074074074073,-38.57091862962963
439.99999999974483,34,128,0.20987654320987653,-33.62592906172839
449.99999999973573,34,128,0.20987654320987653,-33.62592906172839
459.99999999972664,32,130,0.19753086419753085,-31.647933234567898
469.99999999971755,33,129,0.2037037037037037,-32.63693114814815
479.99999999970845,38,124,0.2345679012345679,-37.581920716049375
489.99999999969936,35,127,0.21604938271604937,-34.61492697530864
499.99999999969026,33,129,0.2037037037037037,-32.63693114814815
509.99999999968117,37,125,0.22839506172839505,-36.59292280246914
519.9999999996721,33,129,0.2037037037037037,-32.63693114814815
529.999999999663,32,130,0.19753086419753085,-31.647933234567898
539.9999999996539,31,131,0.19135802469135801,-30.658935320987652
549.9999999996448,29,133,0.17901234567901234,-28.68093949382716
559.9999999996357,31,131,0.19135802469135801,-30.658935320987652
569.9999999996267,31,131,0.19135802469135801,-30.658935320987652
579.9999999996176,32,130,0.19753086419753085,-31.647933234567898
589.9999999996085,35,127,0.21604938271604937,-34.61492697530864
599.9999999995994,36,126,0.2222222222222222,-35.60392488888888
609.9999999995903,34,128,0.20987654320987653,-33.62592906172839
619.9999999995812,30,132,0.18518518518518517,-29.669937407407406
629.9999999995721,27,135,0.16666666666666666,-26.702943666666663
639.999999999563,33,129,0.2037037037037037,-32.63693114814815
649.9999999995539,37,125,0.22839506172839505,-36.59292280246914
659.9999999995448,32,130,0.19753086419753085,-31.647933234567898
669.9999999995357,37,125,0.22839506172839505,-36.59292280246914
679.9999999995266,34,128,0.20987654320987653,-33.62592906172839
689.9999999995175,30,132,0.18518518518518517,-29.669937407407406
699.9999999995084,36,126,0.2222222222222222,-35.60392488888888
709.9999999994993,37,125,0.22839506172839505,-36.59292280246914
719.9999999994902,36,126,0.2222222222222222,-35.60392488888888
