time,number_A,number_HA,alpha,surf_ch_dens
140.00000000001765,134,28,0.8271604938271605,-265.0514408395062
150.00000000000855,112,50,0.691358024691358,-221.53553264197532
159.99999999999946,101,61,0.6234567901234568,-199.77757854320987
169.99999999999037,91,71,0.5617283950617284,-179.99762027160494
179.99999999998127,87,75,0.5370370370370371,-172.08563696296295
189.99999999997218,78,84,0.48148148148148145,-154.28367451851852
199.99999999996308,76,86,0.4691358024691358,-150.3276828641975
209.99999999995399,73,89,0.4506172839506173,-144.39369538271603
219.9999999999449,72,90,0.4444444444444444,-142.41569955555553
229.9999999999358,70,92,0.43209876543209874,-138.45970790123457
239.9999999999267,74,88,0.4567901234567901,-146.37169120987656
249.9999999999176,69,93,0.42592592592592593,-136.48171207407407
259.99999999990854,65,97,0.4012345679012346,-128.56972876543207
269.99999999989944,67,95,0.41358024691358025,-132.5257204197531
279.99999999989035,66,96,0.4074074074074074,-130.5477245925926
289.99999999988125,66,96,0.4074074074074074,-130.5477245925926
299.99999999987216,71,91,0.4382716049382716,-140.43770372839506
309.99999999986306,73,89,0.4506172839506173,-144.39369538271603
319.99999999985397,69,93,0.42592592592592593,-136.48171207407407
329.9999999998449,69,93,0.42592592592592593,-136.48171207407407
339.9999999998358,70,92,0.43209876543209874,-138.45970790123457
349.9999999998267,71,91,0.4382716049382716,-140.43770372839506
359.9999999998176,73,89,0.4506172839506173,-144.39369538271603
369.9999999998085,75,87,0.46296296296296297,-148.34968703703703
379.9999999997994,74,88,0.4567901234567901,-146.37169120987656
389.9999999997903,71,91,0.4382716049382716,-140.43770372839506
399.9999999997812,67,95,0.41358024691358025,-132.5257204197531
409.9999999997721,66,96,0.4074074074074074,-130.5477245925926
419.999999999763,69,93,0.42592592592592593,-136.48171207407407
429.9999999997539,64,98,0.3950617283950617,-126.59173293827159
439.99999999974483,62,100,0.38271604938271603,-122.63574128395061
449.99999999973573,61,101,0.3765432098765432,-120.65774545679011
459.99999999972664,60,102,0.37037037037037035,-118.67974962962963
469.99999999971755,58,104,0.35802469135802467,-114.72375797530864
479.99999999970845,60,102,0.37037037037037035,-118.67974962962963
489.99999999969936,62,100,0.38271604938271603,-122.63574128395061
499.99999999969026,63,99,0.3888888888888889,-124.61373711111112
509.99999999968117,69,93,0.42592592592592593,-136.48171207407407
519.9999999996721,67,95,0.41358024691358025,-132.5257204197531
529.999999999663,69,93,0.42592592592592593,-136.48171207407407
539.9999999996539,69,93,0.42592592592592593,-136.48171207407407
549.9999999996448,68,94,0.41975308641975306,-134.50371624691357
559.9999999996357,66,96,0.4074074074074074,-130.5477245925926
569.9999999996267,68,94,0.41975308641975306,-134.50371624691357
579.9999999996176,66,96,0.4074074074074074,-130.5477245925926
589.9999999996085,66,96,0.4074074074074074,-130.5477245925926
599.9999999995994,68,94,0.41975308641975306,-134.50371624691357
609.9999999995903,64,98,0.3950617283950617,-126.59173293827159
619.9999999995812,64,98,0.3950617283950617,-126.59173293827159
629.9999999995721,61,101,0.3765432098765432,-120.65774545679011
639.999999999563,61,101,0.3765432098765432,-120.65774545679011
649.9999999995539,65,97,0.4012345679012346,-128.56972876543207
659.9999999995448,64,98,0.3950617283950617,-126.59173293827159
669.9999999995357,68,94,0.41975308641975306,-134.50371624691357
679.9999999995266,65,97,0.4012345679012346,-128.56972876543207
689.9999999995175,65,97,0.4012345679012346,-128.56972876543207
699.9999999995084,65,97,0.4012345679012346,-128.56972876543207
709.9999999994993,63,99,0.3888888888888889,-124.61373711111112
719.9999999994902,65,97,0.4012345679012346,-128.56972876543207
729.9999999994811,62,100,0.38271604938271603,-122.63574128395061
739.999999999472,63,99,0.3888888888888889,-124.61373711111112
749.999999999463,62,100,0.38271604938271603,-122.63574128395061
759.9999999994538,59,103,0.36419753086419754,-116.70175380246913
769.9999999994448,59,103,0.36419753086419754,-116.70175380246913
779.9999999994357,61,101,0.3765432098765432,-120.65774545679011
789.9999999994266,61,101,0.3765432098765432,-120.65774545679011
799.9999999994175,58,104,0.35802469135802467,-114.72375797530864
809.9999999994084,59,103,0.36419753086419754,-116.70175380246913
819.9999999993993,60,102,0.37037037037037035,-118.67974962962963
829.9999999993902,60,102,0.37037037037037035,-118.67974962962963
839.9999999993811,60,102,0.37037037037037035,-118.67974962962963
849.999999999372,65,97,0.4012345679012346,-128.56972876543207
859.9999999993629,67,95,0.41358024691358025,-132.5257204197531
869.9999999993538,66,96,0.4074074074074074,-130.5477245925926
879.9999999993447,63,99,0.3888888888888889,-124.61373711111112
889.9999999993356,66,96,0.4074074074074074,-130.5477245925926
899.9999999993265,66,96,0.4074074074074074,-130.5477245925926
909.9999999993174,67,95,0.41358024691358025,-132.5257204197531
919.9999999993083,65,97,0.4012345679012346,-128.56972876543207
