time,number_A,number_HA,alpha,surf_ch_dens
140.00000000001765,100,62,0.6172839506172839,-197.79958271604937
150.00000000000855,60,102,0.37037037037037035,-118.67974962962963
159.99999999999946,34,128,0.20987654320987653,-67.25185812345678
169.99999999999037,23,139,0.1419753086419753,-45.49390402469136
179.99999999998127,21,141,0.12962962962962962,-41.537912370370364
189.99999999997218,16,146,0.09876543209876543,-31.647933234567898
199.99999999996308,13,149,0.08024691358024691,-25.71394575308642
209.99999999995399,14,148,0.08641975308641975,-27.691941580246915
219.9999999999449,13,149,0.08024691358024691,-25.71394575308642
229.9999999999358,11,151,0.06790123456790123,-21.757954098765435
239.9999999999267,9,153,0.05555555555555555,-17.80196244444444
249.9999999999176,4,158,0.024691358024691357,-7.911983308641974
259.99999999990854,8,154,0.04938271604938271,-15.823966617283949
269.99999999989944,8,154,0.04938271604938271,-15.823966617283949
279.99999999989035,10,152,0.06172839506172839,-19.779958271604936
289.99999999988125,12,150,0.07407407407407407,-23.735949925925926
299.99999999987216,7,155,0.043209876543209874,-13.845970790123458
309.99999999986306,9,153,0.05555555555555555,-17.80196244444444
319.99999999985397,11,151,0.06790123456790123,-21.757954098765435
329.9999999998449,13,149,0.08024691358024691,-25.71394575308642
339.9999999998358,11,151,0.06790123456790123,-21.757954098765435
349.9999999998267,8,154,0.04938271604938271,-15.823966617283949
359.9999999998176,10,152,0.06172839506172839,-19.779958271604936
369.9999999998085,9,153,0.05555555555555555,-17.80196244444444
379.9999999997994,7,155,0.043209876543209874,-13.845970790123458
389.9999999997903,12,150,0.07407407407407407,-23.735949925925926
399.9999999997812,10,152,0.06172839506172839,-19.779958271604936
409.9999999997721,11,151,0.06790123456790123,-21.757954098765435
419.999999999763,9,153,0.05555555555555555,-17.80196244444444
429.9999999997539,5,157,0.030864197530864196,-9.889979135802468
439.99999999974483,9,153,0.05555555555555555,-17.80196244444444
449.99999999973573,7,155,0.043209876543209874,-13.845970790123458
459.99999999972664,7,155,0.043209876543209874,-13.845970790123458
469.99999999971755,7,155,0.043209876543209874,-13.845970790123458
479.99999999970845,7,155,0.043209876543209874,-13.845970790123458
489.99999999969936,6,156,0.037037037037037035,-11.867974962962963
499.99999999969026,9,153,0.05555555555555555,-17.80196244444444
509.99999999968117,14,148,0.08641975308641975,-27.691941580246915
519.9999999996721,8,154,0.04938271604938271,-15.823966617283949
529.999999999663,11,151,0.06790123456790123,-21.757954098765435
539.9999999996539,10,152,0.06172839506172839,-19.779958271604936
549.9999999996448,6,156,0.037037037037037035,-11.867974962962963
559.9999999996357,8,154,0.04938271604938271,-15.823966617283949
569.9999999996267,10,152,0.06172839506172839,-19.779958271604936
579.9999999996176,8,154,0.04938271604938271,-15.823966617283949
589.9999999996085,5,157,0.030864197530864196,-9.889979135802468
599.9999999995994,5,157,0.030864197530864196,-9.889979135802468
609.9999999995903,9,153,0.05555555555555555,-17.80196244444444
619.9999999995812,10,152,0.06172839506172839,-19.779958271604936
629.9999999995721,9,153,0.05555555555555555,-17.80196244444444
639.999999999563,11,151,0.06790123456790123,-21.757954098765435
649.9999999995539,12,150,0.07407407407407407,-23.735949925925926
659.9999999995448,8,154,0.04938271604938271,-15.823966617283949
669.9999999995357,10,152,0.06172839506172839,-19.779958271604936
679.9999999995266,10,152,0.06172839506172839,-19.779958271604936
689.9999999995175,10,152,0.06172839506172839,-19.779958271604936
699.9999999995084,13,149,0.08024691358024691,-25.71394575308642
709.9999999994993,8,154,0.04938271604938271,-15.823966617283949
719.9999999994902,9,153,0.05555555555555555,-17.80196244444444
729.9999999994811,8,154,0.04938271604938271,-15.823966617283949
